Auteur;P1;Ecole_pays_1;P_Dates;Id
ANONYME;?, 10-12-1691, ?, 29-09-1759, nationalité : hollandaise;PAYS-BAS;10-12-1691-29-09-1759;15465
ANSTETT FRANÇOIS MICHEL;;;;18335
ANTHEAUME JEAN JACQUES;Actif à vincennes puis à sèvres de 1754 à 1758, après une première apparition en 1752. entre-temps, il travailla à la fabrique de chantilly (cette particularité a pu guider le choix duc duc d'aumale);FRANCE,SEVRES;1754-1758-1752;99
ANTISTIOS;;;;30965
ANTOINE;;;;20139
ANTOINE N & FILS;;;;22604
ANTONIBON;;ITALIE;;17469
AP;;;;102
APOIL SUZANNE ESTELLE;Sèvres, 1825;FRANCE,SEVRES;1825;11010
ARAWAK;;;;30402
ARCHELAIS JULES;Mouleur-réparateur, puis décorateur-modeleur à la manufacture de sèvres de 1865 à 1902, auteur des feuillages bleus;FRANCE,SEVRES;1865-1902;11007
ARMAND MARIE MARGUERITE GABRIELLE;;;;28414
ATELIER CASA PIROTA;;;;1642
ATELIER DE L'AMPHORE D'ATHENES 897;;;;30966
ATELIER DE LA GRAUFESENQUE;;;;2756
ATELIER DE LEZOUX;;;;2265
ATELIER DE PISTILLUS;autun, 1er siècle, autun, 2e siècle;;1-2;2271
ATELIER DE POTERIE DU PAYS DE BRAY;;;;13807
ATELIER DU BIRDSEED;;;;13934
ATELIER DU CENTRE DE LA GAULE;;;;2277
ATTALICOS;;;;30967
AUBE JEAN PAUL;longwy, 1837, capbreton, 1916, manufacture haviland. atelier de la rue blomet, paris, vers 1882-1884;;1837-1916-1882-1884;18144
AUDIN DOMINIQUE;;FRANCE,NEVERS;;1404
AUDRAN CLAUDE III;;;;24365
AUGUSTE GEORGES & CIE;en activité de 1858 à 1863;;1858-1863;20703
AVISSEAU CHARLES JEAN;tours, 1796, tours, 1861, nationalité : française;FRANCE;1796-1861;30968
AZAMBOURL J;;;;842
AZTEQUE;?, 2e siècle avant j.c., ?, 7e siècle;;2-7;14143
B & CIE;;;;14134
BABOUIN LOUISE;Grenoble (isère), 1860 (?), saint-vallier (drôme), 1928, femme, nationalité française;FRANCE;1860-1928;14635
BACHELET EMILE JUST;Nancy, 1892, aix-en-provence, 1981;FRANCE,QUIMPER;1892-1981;5233
BACHELET PIERRE;faïencier;FRANCE, ROUEN;;11989
BACQUET AUGUSTE;Hardinghen, 1873, boulogne-sur-mer, 1930;FRANCE;1873-1930;9468
BAFFIER JEAN EUGENE;neuvy-le-barrois (18), 1851, novembre 18, paris (75), 1920, avril 19;FRANCE;18-1851-18-75-1920-19;5786
BAGUES J F;fusionnent en 1840 et produisent des céramiques similaires jusqu'à la fermeture de la faïencerie de creil en 1895, dénomination 'creil et montereau' conservée jusqu'en 1920;;1840-1895-1920;29527
BAIRNSFATHER BRUCE;1887, 1959;;1887-1959;30975
BALLERAT JEAN GASPARD;;;;1298
BALLEUR;;;;32863
BAMOUM;;;;31051
BAQUET PIERRE JOSEPH;;;;4133
BARBERIS HENRI;;;;4087
BARBIN FRANÇOIS HUBERT;;;;118
BARRAT FRANÇOIS MARIE;1751 - 1796, actif à la manufacture royale de sèvres de 1769 à 1791 et de 1795 à 1796, peintre de fleurs et de motifs, manufacture royale de sèvres : fonctionne à partir de 1756 à sèvres;;1751-1796-1769-1791-1795-1796-1756;28387
BARRE FRANÇOIS;actif à la manufacture royale de sèvres entre 1773 et 1778, peintre de fleurs et de motifs, doreur, manufacture royale de sèvres : fonctionne à partir de 1756 à sèvres;;1773-1778-1756;28421
BARRE JEAN JACQUES;;;;145
BATONNOT;;;;1298
BAUCARNAUD C;;;;21068
BAUDINET FRANÇOIS;;;;25847
BAUDOUIN FRANÇOIS PERE;;;;28415
BAUMLIN FRANÇOIS;Potier;;;30976
BAYLE PIERRE;aigues-vives, 3 juin 1945, béziers, 18 mars 2004;;3-1945-18-2004;30977
BEAU ALFRED;Morlaix, 1829, quimper, 1907;FRANCE,QUIMPER;1829-1907;5265
BEAUDOU DANIEL;Janailhac (haute-vienne), 1916, manosque (alpes-de-haute provence), 2000, nationalité française;FRANCE;1916-2000;14625
BECK MICHEL;Seine-maritime, 1928;FRANCE;1928;11208
BEDU ARMAND;;;;5704
BELDAM PAINTER;;;;30978
BELET EMILE;;;;11033
BELLEVEAUX PIERRE;Le style du décor dans le genre de nevers ainsi que la marque b laissent supposer que l'auteur de cette pièce serait pierre belleveaux (1704-1743), faïencier nivernais qui épousa en 1731 la fille de pierre bousquet;FRANCE,NEVERS;1704-1743-1731;5395
BELLOT JEAN;potier, actif en 1688, despre claude françois : ?, ?;;1688;5785
BERAIN;;FRANCE;;18953
BERCHEM CLAES PIETERSZ;Fonctionne de 1781 à 1824;FRANCE,PARIS;1781-1824;18284
BERCHEM NICOLAES PIETERSZ;;;;18335
BERNARD;Potier à cluny;;;3710
BERNARD CLAUDE;1861, 1967, en 1860, charles avril devient actionnaire de la tuilerie georges et compagnie située à montchanin et créée en 1858 puis en devient propriétaire quelques années plus tard. en 1879, il fonde la société anonyme de la grande tuilerie de bourgogne et développe rapidement un processus de fabrication et de manutention très mécanisé, en installant notamment des fours continus vers 1900. l'usine fusionne en 1938 avec la société des grandes tuileries bourguignonnes de chagny (société des grandes tuileries de bourgogne chagny-montchanin) elle-même absorbée par la société lambert frères en 1963. la tuilerie de montchanin ferme ses portes en 1967.;;1861-1967-1860-1858-1879-1900-1938-1963-1967;20679
BERNARDAUD LEONARD;1856, 1923;;1856-1923;14134
BERNHARD HERMANN;bernhard hermann, (1875-1953) peintre et sculpteur à la manufacture de sarreguemines, né à welferding près de sarreguemines. il fit des études à ratisbonne et à la kunstakademie de munich. il travailla en qualité de modeleur à la faïencerie de sarreguemines à partir de 1902. il réalisa notamment un buste de paul de geiger. il exposa deux vases à paris en 1925 à l'exposition des arts décoratifs. on lui attribue notamment la réalisation de la série d'assiettes le blocus de phalsbourg.;;1875-1953-1902-1925;8080
BERTIN;L'atelier bertin est créé en 1831 à saint-just-des-marais et ferme ses portes en 1847;;1831-1847;29350
BERTOUX FOSSE JEANNE;;;;4217
BERTOUX MARIUS;potier à cluny actif entre 1924 et 1928, époux de jeanne fertoux-fosse;;1924-1928;4023
BERTOUX SIMON;Potier à cluny;;;4383
BERTOUX SIMON II;?, 1905, ?, 1941;;1905-1941;4138
BERTRAND;Entré à sèvres en 1757, mort en activité en 1775;FRANCE,SEVRES;1757-1775;104
BERTRAND ALICE;nantes, 1981, femme;;1981;30992
BESSON JULIE;;;;25296
BETHMONT EUGENIE;;;;4078
BETTY;;;;8186
BEYER HENRI PAUL AUGUSTE;strasbourg, 1873, bourges, 1945;;1873-1945;5708
BEZARD ARISTIDE CALIXTE;1876, 1916 mousseux : 1866, 1941;;1876-1916-1866-1941;30993
BIBESCO ELISABETH HELENE;;;;11309
BIENVENU JEANNE;?, ?, femme;;;7979
BIEUVILLE HORACE DESIRE;;;;4089
BIGOT ALEXANDRE;un diplôme de chimie, qui lui apporta une connaissance fort sollicitée, notamment par jean carries, qui à son tour l'influença plus tard. pour le côté pratique (tournage et moulage), il bénéficia des conseils de raphaël tessier (1860-1937);;1860-1937;24522
BIGOURAT CLAUDE;?, ?, ?, 22 mai 1754, nationalité : française;;22-1754;1040
BIGOURAT CLAUDE GUILLAUME;?, 1735, ?, 1794, nationalité : française, manufacture la croix d'or-le lion d'or-la fleur de lys : de 1751 à 1833;;1735-1794-1751-1833;1139
BING ET GRONDHAL;;DANEMARK;;9441
BING SIEGFRIED;;;;31429
BISSON JOSEPH;;FRANCE, NEVERS;;1592
BLANCHARD ALEXANDRE;;;;4097
BLANCHERON ETIENNE JEAN LOUIS;Fondée en 1789 par l'anglais potter, la manufacture de paris, rue de crussol, fut reprise par blancheron en 1792. placée sous le patronnage de la duchesse de berry en1823, la manufacture cessa ses activités vers 1834;FRANCE,PARIS;1789-1792-1823-1834;9956
BLANDIN FREDERIC;;FRANCE, NEVERS;;1519
BLOCH ACHILLE;;FRANCE;;1795
BLOEMART ABRAHAM;;;;24433
BLONDAT MAX;Crain, 1872, boulogne, 1925;;1872-1925;30995
BLONDEAU PIERRE;;;;32157
BLOT EUGENE;grandvilliers, 14 novembre 1830, grandvilliers, 1899;FRANCE;14-1830-1899;2023
BLOT JACQUES;;;;30996
BLOT PAUL;;;;30996
BLOTTIERE;;;;12649
BOCH P J;;LUXEMBOURG,SEPTFONTAINES;;9122
BOCQUET LOUIS MAURICE;;;;3088
BOENDER MATHIJS;;;;24745
BOENDER MATHYS;;;;24745
BOGUREAU JEANNE;;;;4079
BOILEAU HENRI GERMAIN;;FRANCE, SEVRES;;18702
BOISSIMON;;FRANCE;;25072
BOITEAU MICHEL;;;;32204
BOIZOT LOUIS SIMON;paris, 1743, paris, 1809;FRANCE, SEVRES;1743-1809;18575
BOIZOT SIMON LOUIS;Paris, 1743, paris, 1809;FRANCE, SEVRES;1743-1809;18571
BOLSWERT SCHELTE ADAMS;;;;24401
BOLVRY CHARLES FRANÇOIS;?, 1738, ?, 1806;FRANCE, SEVRES;1738-1806;18667
BOMPARD FRERES;la poterie des bourgauds fut construite vers 1866 par les frères antoine et françois bompard. en 1920, l'affaire prit le nom manufacture de grès et poteries, ancienne maison bompard. elle a cessé son activité peu après la deuxième guerre mondiale.;FRANCE;1866-1920;514
BONNAMY CLAUDE;;FRANCE,NEVERS;;1453
BONNEAU LESTANG FRANÇOIS;;;;1403
BONNEJOY E;Normandie, milieu 19e siècle;FORGES-LES-EAUX;19;11780
BOQUET;;;;11445
BORNE CLAUDE;d'origine nivernaise, claude borne travailla à rouen durant le deuxième quart du xviiième siècle et à partir de 1740 chez dionis, l'un des successeurs de m. poterat, et peut-être y revint-il vers 1760 après son passage à sinceny et à tournai. le nom des borne est célèbre dans l'histoire de la faïence française et leur oeuvre réalisée à nevers, lille, rouen ou sinceny témoigne d'une grande expérience céramique. ('faïence française- catalogue grand-palais- paris 1980);FRANCE, ROUEN;1740-1760-1980;10334
BORNE ETIENNE;;FRANCE,NEVERS;;2095
BORNE HENRI;Manufacture henri borne 1660-1714;FRANCE, NEVERS;1660-1714;959
BORSI MANFREDO;Florence (italie), 1900, nationalité italienne;ITALIE;1900;14633
BOSIO FRANÇOIS JOSEPH BARON;monaco, 1768, paris, 1845, rutxhiel : lierneux, 1775, paris, 1837;FRANCE,SEVRES;1768-1845-1775-1837;18232
BOSSOT GUILLIEN;Manufacture à ciry-le-noble, 71;;71;4746
BOTEREL GEORGES;;;;11054
BOTEREL GEORGES MARIE JOSEPH;;;;11046
BOUCHER FRANÇOIS;paris, 23 septembre 1703, paris, 30 mai 1770#lyons : faïencier à la manufacture 'bethléem-la maison des gambim' de 1838 à 1872;FRANCE, NEVERS;23-1703-30-1770-1838-1872;1458
BOUCOT JEAN PHILIPPE;actif à la manufacture de sèvres comme tourneur de modèles de 1755 à 1800 et comme tourneur mécanicien de 1806 à 1808;FRANCE, SEVRES;1755-1800-1806-1808;18621
BOUDON DE SAINT AMAND;;;;18336
BOUGAREL;;FRANCE, NEVERS;;3885
BOUGAREL CHARLES FRANÇOIS;;;;1150
BOUILLAT RACHEL;;;;28394
BOULANGER JEAN PIERRE PERE;;;;110
BOULENGER FRERES;Boulenger frères (aimé et achille boulenger), période d'activité 1825-1901;;1825-1901;13601
BOULENGER HIPPOLYTE;1836, 1892;;1836-1892;31000
BOULLEMIER;;;;18304
BOULLEMIER ANTOINE GABRIEL;;;;12910
BOULLEMIER FRANÇOIS ANTOINE;;;;5926
BOULLEMIER HILAIRE FRANÇOIS FILS;;;;19420
BOULLOGNE LOUIS LE JEUNE;?, 1654, ?, 1733;FRANCE,NEVERS;1654-1733;1433
BOURDIN F;;;;31561
BOURDOIS ET BLOCH;;;;1803
BOURGEOIS ET PAGE;;;;31048
BOUSSEMART;La première faïencerie lilloise fut créée en 1696 par jacques febvrier et jacques bossut. d'autres manufactures existèrent au 18e siècle (boussemart, dorez, masquelier), dont l'activité perdura jusqu'au milieu du 19e siècle. les pièces de lille étant rarement marquées, il est difficile de les attribuer à l'une ou l'autre de ces manufactures;FRANCE,LILLE;1696-18-19;9922
BOUVEAULT THEOPHILE FRANÇOIS ADOLPHE;;;;1162
BOUVIER JOSEPH LAURENT DANIEL;Vinay (isère), 1840, saint-geoire-en-valdaine (isère), 1901, nationalité française;FRANCE;1840-1901;14673
BOUVILLE MARQUIS DE;18e siècle;;18;10972
BOUZONNET STELLA CLAUDINE;Née en 1641, morte en 1697, femme;;1641-1697;12173
BOYAUX;nevers, 1626, ?, 1836;FRANCE, NEVERS;1626-1836;1298
BRACHARD JEAN CHARLES NICOLAS;;;;30368
BRACQUEMOND EMILE LOUIS;paris, 1889, clichy, 1970#guillonnet : paris, 1872, montgeron, 1967;;1889-1970-1872-1967;31049
BRACQUEMOND FELIX;paris, 1833, 1914, graveur sur céramique à la faïencerie de creil, faïenceries de creil et montereau : fusionnent en 1840 et produisent des céramiques similaires jusqu'à la fermeture de la faïencerie de creil en 1895;;1833-1914-1840-1895;28837
BRARD LEON;Caen, 1830, tours, 1902;FRANCE;1830-1902;9492
BRAUN ADOLPHE;né en 1812, il a vécu dans la région de mulhouse. après une formation de dessinateur pour étoffes, il suit des études d'art à paris. de retour à mulhouse, il travaille chez dolfus-mieg comme dessinateur avant de devenir indépendant. entre-temps, en 1842, il publie un recueil de dessins destinés à l'usage des fabriques d'étoffes, de porcelaines, de papiers peints. vers 1850, il se tourne vers une nouvelle activité : la photographie. cette passion lui a sans doute été initiée par les industriels mulhousiens qui voyaient dans la photographie, un possible moyen de reproduire plus rapidement et plus fidèlement les décors des toiles imprimées ou des papiers peints. dès octobre 1839, la société industrielle de mulhouse avait acquis des daguerréotypes et les avait exposé à son siège. les premiers travaux photographiques de braun sont consacrés à des vues de fleurs qui reçoivent les éloges de l'académie des sciences à paris du fait de leurs qualités artistiques et techniques. ces travaux reçurent également un accueil chaleureux des industriels qui puisèrent dans ces albums, une inspiration nouvelle, plus originale que les décors trop conventionnels des dessinateurs. il se consacra ensuite à l'édition d'un ouvrage sur les paysages d'alsace auquel napoléon iii avait souscrit, ce qui l'obligea d'ailleurs à le terminer car financièrement l'entreprise fut hasardeuse. il s'intéressa également à la photographie stéréoscopique;;1812-1842-1850-1839;7220
BRECY HENRI ERNEST;;;;4041
BREGUET NEVEU;;;;24833
BRIEL PIETER VAN DER;Fondée en 1661, la fabrique la fortune (het fortuyn) fut dirigée par lucas van daale vers 1691. de 1691 à 1694, elle appartint à dammas hofdijk et jacobus de lange, et fut dirigée en 1706 par joris oosterwijk. a partir de la 2e moitié du 18e siècle, elle devint la propriété de pieter van den briel, puis de sa veuve elisabeth, après 1764. elle fut vendue en 1791;PAYS-BAS,DELFT;1661-1691-1691-1694-1706-2-18-1764-1791;9565
BRIEL VEUVE VAN DEN;Fondée en 1658 par wouter van eenhoorn. dirigée successivement par samuel van eenhoorn, adriaen kocks, pieter adriaensz kocks. rachetée en 1758 par jan theunis dextra. la dernière marque, jusqu'en 1785, fut celle de jan van den briel. la dernière mention dans les archives date de 1818;PAYS-BAS,DELFT;1658-1758-1785-1818;9634
BRIZARD EDOUARD;nom d'une dynastie d'industriels français de la céramique qui furent propriétaires, à partir du milieu du xixe siècle, des faïenceries de choisy-le-roi, en 1863 : hippolyte boulenger, né le 27 août 1836 à paris, fils de louis boulenger, succède à son père et reste seul à la tête de l'entreprise, en 1878 : société anonyme sous la raison sociale ' hippolyte boulenger et cie ' (wikipédia);;1863-27-1836-1878;10056
BRONGNIARD EDOUARD CHARLES FRANKLIN;paris, 1830, ?#moriot : versailles, 1788, ?, 1852, peintre actif à sèvres de 1828 à 1848;FRANCE;1830-1788-1852-1828-1848;11445
BRONGNIART ALEXANDRE;?, 1770, ?, 1847;FRANCE, SEVRES;1770-1847;18712
BROUARD HENRI;;;;32565
BROUWER CORNELIS JANSZ;Fondée en 1660, la manufacture de witte starre (l'etoile blanche) était dirigée par dammas hofdijk, également directeur de de roos (la rose) jacobus de lange lui succéda, puis sa veuve, jusqu'en 1741. jusqu'en 1772, la fabrique fut dirigée par albertus kiell. elle disparut en 1804;PAYS-BAS,DELFT;1660-1741-1772-1804;9674
BRULE JEANNE;;;;5663
BUCQUET LOUIS LEON;;;;11523
BULIDON NICOLAS;actif à la manufacture royale de sèvres entre 1763 et 1792, peintre de fleurs et de motifs, manufacture royale de sèvres : fonctionne à partir de 1756 à sèvres;;1763-1792-1756;28378
BULOT EUGENE ALEXANDRE;Travaillait à saint-cyr;FRANCE,SEVRES;;11006
BUNEL MARIE JEANNE BARBE;femme, active à la manufacture royale de sèvres entre 1777 et 1816, peintre de fleurs et de motifs, manufacture royale de sèvres : fonctionne à partir de 1756 à sèvres;;1777-1816-1756;28424
BUSSIERE ERNEST;ars-sur-moselle, 1863, nancy, 1913, nationalité : française#keller et guerin : atelier keller et guérin, lunéville, 19e - 20e siècle;FRANCE,LORRAINE;1863-1913-19-20;31050
BUTEUX CHARLES NICOLAS L'AINE;actif à la manufacture royale de sèvres entre 1756 et 1782, peintre de fleurs, de figures et de trophées, manufacture royale de sèvres : fonctionne à partir de 1756 à sèvres;;1756-1782-1756;28419
BUTEUX MARIE JEANNE BARBE;;;;28424
BUTEUX PIERRE THEODORE;actif à la manufacture royale de sèvres entre 1765 et 1784, peintre, doreur, manufacture royale de sèvres : fonctionne à partir de 1756 à sèvres;;1765-1784-1756;28423
BUTHAUD RENE;Saintes, 1886, bordeaux, 1986;FRANCE;1886-1986;225
C F H G D M;;;;11507
CABAU EUGENE CHARLES;peintre à la manufacture de sèvres de 1847 à 1885;FRANCE,SEVRES;1847-1885;10998
CADET DELISLE;;FRANCE, ROUEN;;11990
CADUVECU;;;;11527
CAECILIUS;;;;31102
CAFFIERI JEAN JACQUES;paris, 1725, paris, 1792 (?), a travaillé à la manufacture de sèvres en 1783-84#le brun : paris, 1619, paris, 1690#boterel : mouleur repareur à la manufacture de sèvres de 1888 à 1934;FRANCE,SEVRES;1725-1792-1783-84-1619-1690-1888-1934;11046
CAIUS ATISIUS GRATUS;;;;14616
CAIUS ATISIUS SABINUS;;;;14396
CALLOT JACQUES;fécamp, 1840, salins-les-bains, 1893, callot : nancy, 1592, nancy, 1635;FRANCE;1840-1893-1592-1635;25294
CAMBIE ELIZABETH MURIEL;;;;31055
CANOVA ANTONIO;1861, 1967, en 1860, charles avril devient actionnaire de la tuilerie georges et compagnie située à montchanin et créée en 1858 puis en devient propriétaire quelques années plus tard. en 1879, il fonde la société anonyme de la grande tuilerie de bourgogne et développe rapidement un processus de fabrication et de manutention très mécanisé, en installant notamment des fours continus vers 1900. l'usine fusionne en 1938 avec la société des grandes tuileries bourguignonnes de chagny (société des grandes tuileries de bourgogne chagny-montchanin) elle-même absorbée par la société lambert frères en 1963. la tuilerie de montchanin ferme ses portes en 1967.;CANOVA : ITALIE;1861-1967-1860-1858-1879-1900-1938-1963-1967;20673
CANTAGALLI;;;;768
CAPELLEMANS J B;;BELGIQUE,JEMMAPES;;9108
CARAGLIO GIOVANNI JACOPO;?, 1505, ?, 1565;ITALIE;1505-1565;1473
CARANZA;;;;169
CARBONNIER FELIX;Actif de 1830-1831 à 1838, il est le frère de casimir carbonnier (tourneur);FRANCE,BEAUVAIS;1830-1831-1838;28174
CARDEILHAC ERNEST;;;;11309
CARJAT ETIENNE;sarreguemines, 1790, 1979;;1790-1979;25435
CARLIER F;1861, 1967, en 1860, charles avril devient actionnaire de la tuilerie georges et compagnie située à montchanin et créée en 1858 puis en devient propriétaire quelques années plus tard. en 1879, il fonde la société anonyme de la grande tuilerie de bourgogne et développe rapidement un processus de fabrication et de manutention très mécanisé, en installant notamment des fours continus vers 1900. l'usine fusionne en 1938 avec la société des grandes tuileries bourguignonnes de chagny (société des grandes tuileries de bourgogne chagny-montchanin) elle-même absorbée par la société lambert frères en 1963. la tuilerie de montchanin ferme ses portes en 1967.;;1861-1967-1860-1858-1879-1900-1938-1963-1967;20671
CARLIN MARTIN;?, 1730 vers, ?, 1785;FRANCE;1730-1785;18998
CARRACHE ANNIBAL;;;;2222
CARRACHE AUGUSTIN;;;;2740
CARRIER BELLEUSE;;;;11256
CARRIER BELLEUSE ALBERT ERNEST;anizy-le-château, 1824, sèvres, 1887, nationalité : française;FRANCE;1824-1887;4996
CARRIES;;;;1630
CARRIES JEAN;lyon, 15 février 1855, paris, 1er juillet 1894, il aura une influence sur des artistes potiers;FRANCE;15-1855-1-1894;1629
CASALE & CALLEGARI;;ITALIE,EMILIE-ROMAGNE, FAENZA;;9885
CASTELLO BERNARDO;;;;10429
CATRICE NICOLAS;;;;5959
CAUSSY;18e siècle;;18;10943
CAUSSY PIERRE CLEMENT;rouen, 22-11-1724, ?, 1782, nationalité : française;FRANCE, ROUEN;22-11-1724-1782;10353
CAUSSY PIERRE PAUL;a la mort de paul caussy en 1731, sa bru assure la relève en attendant le retour de louisiane de pierre-paul caussy, son époux, 'engagé par la compagnie des indes pour la création d'une manufacture de faïence'. pierre-paul caussy ne s'est pas simplement contenter de fabriquer de la faïence, mais a laissé un manuscrit d'une importance considérable donnant toutes les différentes phases de la fabrication. pierre-paul caussy vendra sa fabrique en 1760 à charles framboisier, époux d'une demoiselle heugues que son veuvage dès 1763 allait mettre à la tête de l'entreprise jusqu'en 1786.;FRANCE, ROUEN;1731-1760-1763-1786;10340
CAVAIGNAC;;;;5678
CAZENOVE YOLAND;buzet-sur-baïse, 1914-01-10, orléans, 2009-07-09;FRANCE;1914-01-10-2009-07-09;5794
CAZES PIERRE JACQUES;paris, 1676, paris, 1754 #cochin : paris, 1688, paris, 1754;;1676-1754-1688-1754;26179
CAZIOT;faïencier de 1800 à 1834;FRANCE,NEVERS;1800-1834;1403
CELLERIN AVICE;;FRANCE,ROUEN;;10821
CELOS JULES FRANÇOIS;mouleur-réparateur puis décorateur, modeleur à la manufacture de sèvres de 1865 à 1895. exécutant du décor #renard : dessinateur à la manufacture de sèvres de 1852 à 1882. pratique entre autres le décor orientalisant;FRANCE,SEVRES;1865-1895-1852-1882;11003
CENTRE POTIER DE GER;du 14e au 20e siècle;;14-20;10058
CERABATI;;;;20137
CHAIMOWICZ MARC CAMILLE;?, 1946, ?, ?;;1946;852
CHAMBARD LOUIS;Poterie à bourg-en-bresse;;;4431
CHAMBARD VICTOR;Poterie à bourg-en-bresse;;;4417
CHAMBON JOSEPH;La faïencerie de joseph chambon se situait entre la rue des camaux (actuelle rue du quatre-septembre) et le boulevard des quatre-ponts (actuelle avenue théodore de banville). cette fabrique a cessé son activité peu après la révolution.;FRANCE;;494
CHAMERON VALENTINE;?, 1866, ?, 1954, femme;;1866-1954;5698
CHAMPILLOU JEANNE;Saint-jean-le-blanc (loiret), 1897-04-04, orléans, 1978-05-22;FRANCE;1897-04-04-1978-05-22;24621
CHANAUX ET CIE;;;;18949
CHANCAY;;;;14157
CHANTRIER S;;FRANCE,SAINT-CLEMENT;;2166
CHAPELLE JACQUES;18e siècle;FRANCE, SCEAUX;18;10971
CHAPELLE PIERRE IER;;;;12174
CHAPELLE PIERRE II;?, 1684, ?, 1760, travail à la fabrique de charles le coq de villeray;;1684-1760;12176
CHAPLAIN JULES CLEMENT;Mortagne, 1839, paris, 1909;FRANCE,SEVRES;1839-1909;11041
CHAPLET ERNEST;Sèvres, 1835, choisy-le-roi, 1909;FRANCE;1835-1909;9395
CHARBONNIER EDOUARD;;;;31056
CHARBONNIER MONETTE;Monette charbonnier héritière d'edouard ludovic charbonnier;;;31057
CHARBONNIER ROBERT;;;;31158
CHARNOZ P & CIE;;;;23196
CHAUDET ANTOINE DENIS;?, 1763, ? ,1810;FRANCE,SEVRES;1763-1810;18233
CHAUDON;;;;26862
CHAUMEIL HENRI;?, 1877, ?, 1944#hannong charles-françois : ?, 1669, ?, 1739#manufacture des islettes : ?, 1764, ?, 1840;FRANCE;1877-1944-1669-1739-1764-1840;31060
CHAUVEAU MICHEL BARNABE LE PERE;;;;108
CHAUVIGNE AUGUSTE;angers, 1872, grez-neuville, 1803;;1872-1803;31063
CHAVIN;;;;31106
CHAZOTTES FRERES;;;;26195
CHERET JOSEPH GUSTAVE;;;;4093
CHERET JULES;paris, 1836, nice, 1932;FRANCE;1836-1932;31065
CHIMU;;;;13833
CHIMU LAMBAYEQUE;;;;15861
CHINARD JOSEPH;lyon, 1756, lyon, 1813, nast vient d'autriche et s'installe à paris en 1780. la manufacture ferme vers 1833;FRANCE,PARIS;1756-1813-1780-1833;18234
CHIRIQUI;;;;31112
CHORRERA;;;;31113
CHRISTOFLE;;;;7847
CHUPICUARO;;;;31114
CINNAMUS;1ère moitié 2e siècle;;1-2;522
CIROU CICAIRE;Mort en 1775;SAINT-CLOUD;1775;25413
CIZHOU;Céramiques cizhou des fours de xiuwuxian;CHINE;;31066
CLASSE D'ATHENES 581;;;;14096
CLASSE DE COOK;;;;31076
CLASSE DE MARSEILLE;;;;31077
CLASSE DE PISTIAS;;;;31078
CLASSE DU HERON;;;;32400
CLASSE DU PETIT LION;;;;31079
CLASSE DU PETIT LION CASSE;;;;31080
CLASSE DU VATICAN 440;;;;31081
CLASSE DU VATICAN G 47;;;;31082
CLASSE DU VATICAN G 50;;;;31083
CLASSE DU WHITE LINE SQUAT LEKYTHOI;;;;31084
CLASSE KEYSIDE;;;;31085
CLASSE S;;;;31086
CLAUDE MICHEL;;;;24625
CLAUDET GEORGES MAX;Né à salins-les-bains en 1882, 1970, fils de max claudet;FRANCE;1882-1970;25279
CLAUDET JULIE;née en 1847, morte en 1932, femme;FRANCE;1847-1932;25280
CLAUDET MAX;Fécamp, 1840, salins-les-bains, 1893;FRANCE;1840-1893;25283
CLERICI FELICE;Né en 1745, mort en 1788;;1745-1788;24651
