Auteur;P1;Ecole_pays_1;P_Dates;Id
RUSH WILLIAM;;ETATS-UNIS;;35448
RUTHENBECK REINER;Velbert, 1937;ALLEMAGNE;1937;14165
RUXTHIEL HENRI JOSEPH;Lierneux, 1775, paris, 1837;FRANCE;1775-1837;8484
SABATIER MARCELLIN;cruzy, 1881, espaly-saint-marcel, 1956;FRANCE;1881-1956;35458
SABOURAUD RAIMOND;Nantes, 1864, paris, 1938;FRANCE;1864-1938;12916
SABOURAUD RAYMOND JACQUES;;FRANCE;;35466
SACHOT OCTAVE;Sculpteur du 19e, né à montigny-lencoup, expose de 1861 à 1878;FRANCE;19-1861-1878;5550
SACHOT OCTAVE LOUIS MARIE;montigny-lencoup, 1824, ?, 1905, nationalité : française;;1824-1905;35471
SAIN MARIUS JOSEPH;Avignon, 1877, ?, 1961;FRANCE;1877-1961;14420
SAINGY ALEXANDRE BRUNO;?, 1823, ?, 1895;;1823-1895;6326
SAINT GAUDENS AUGUSTUS;;ETATS-UNIS;;35491
SAINT MARCEAUX CHARLES RENE DE PAUL DE;reims, 1845-09-23, paris, 1915-04-23;;1845-09-23-1915-04-23;3738
SAINT MARCEAUX RENE DE;reims, place royale, n°6, 1845-09-23, paris, 1915, nationalité : française;CHAMPAGNE;6-1845-09-23-1915;35515
SAINT PHALLE NIKI DE;Neuilly-sur-seine, 1930, san diego, 2002, femme;FRANCE;1930-2002;1862
SAINT VIDAL FRANCIS DE;;FRANCE;;35549
SAINTERIE;;;;7343
SALA I MIJJA CARLES;La bisbal d'empurda, 1941;;1941;6936
SALADIN ALPHONSE;;FRANCE;;35550
SALAMON JOSEPH;;FRANCE;;35552
SALENDRE GEORGES;Romanèche-la-montagne (01), 1890, lyon, 1985;FRANCE;01-1890-1985;266
SALLE ANDRE AUGUSTIN;1891?;FRANCE;1891;8590
SALLE VICTOR;;FRANCE;;35553
SALMSON JEAN JULES;paris, 1823, coupvray, 1902, barreau : paris, ?, ?, 1922;FRANCE;1823-1902-1922;16065
SALY JACQUES FRANÇOIS JOSEPH;Valenciennes, 1717, paris, 1776;FRANCE;1717-1776;21806
SAMBIN HUGUES;Gray, 1520, dijon, 1601;BOURGOGNE;1520-1601;17714
SAMSON;Paris, 1845, paris, 1980 (?);FRANCE;1845-1980;8048
SAMSON & CIE;;;;6539
SAMUEL CHARLES;;BELGIQUE;;35559
SANDBACK FRED;Bronxville, 1943, new york, 2003;ETATS-UNIS;1943-2003;14166
SANDOZ EDOUARD;;FRANCE;;35561
SANEJOUAND JEAN MICHEL;Lyon, 1934;FRANCE;1934;2246
SANHES NICOLAS;rodez, 10-09-1965, nationalité : française;FRANCE;10-09-1965;9021
SANSON JUSTIN CHRYSOSTOME;nemours, 1833, paris, 1910;FRANCE;1833-1910;8008
SANTA COLOMA EMMANUEL DE;;FRANCE;;35571
SANTAOLARIA VICENTE;Cabañal (espagne), 1886, ivry, 1967, élève de frédéric lauth;ESPAGNE;1886-1967;16246
SANTAROSSA RENATO;Bolzano, 1943;ITALIE;1943;1863
SANTI RAFFAELLO;;ITALIE;;35572
SANTIOLIS JEAN;;FRANCE,FRANCE;;35573
SANTO CHEMIER;;FRANCE,VAL DE LOIRE;;35574
SANZEL FELIX;;FRANCE;;35575
SAPPEY VICTOR;Grenoble, 1801, grenoble, 1856;FRANCE;1801-1856;14367
SAQUET FERNAND;saulieu, 1893, saulieu, 1976;;1893-1976;915
SARAZIN JACQUES;Noyon, 1592, paris, 1660;FRANCE;1592-1660;20638
SARET JEAN;;;;27523
SARKIS;Istanbul, 1938;FRANCE,TURQUIE;1938;13090
SARLI;;;;12430
SARRABEZOLLES CARLO;toulouse, 1888, paris, 1971, nationalité : française;FRANCE;1888-1971;325
SARRABEZOLLES CHARLES;toulouse, 1888, paris, 1971 (sculpteur);FRANCE;1888-1971;678
SARRABEZOLLES CHARLES MARIE LOUIS;toulouse, 1888, toulouse, 1971;;1888-1971;9774
SARRAZIN JACQUES;noyon, 1588, paris, 1660;FRANCE;1588-1660;455
SARSON LEONARD;Actif à clermont dans la seconde moitié du 16e siècle. il participe à des ouvrages publics commandés par la ville de clermont ou des établissements religieux.;FRANCE;16;35587
SAULNIER EMMANUEL;paris, 1952, nationalité : française;FRANCE;1952;8824
SAULO GEORGES ERNEST;;FRANCE;;35593
SAULO MAURICE;;FRANCE;;35620
SAUPIQUE GEORGES LAURENT;Paris, 1889, ?;FRANCE;1889;20724
SAURIN DONATIEN PIERRE;Nantes, 1841, ?;FRANCE;1841;12918
SAUTET SIMONE;;;;16822
SAUVAGE JEAN PIERRE ARMAND;né en 1821, mort en 1883;FRANCE;1821-1883;19741
SAUVAGE PIERRE;abbeville, 1821, vichy, 1883#houdon jean-antoine : versailles, 1741, paris, 1828, 15 juillet;;1821-1883-1741-1828-15;35624
SAVINE LEOPOLD PIERRE ANTOINE;Paris, 1861, 1934;FRANCE;1861-1934;17489
SCAILLIET EMILE PHILIPPE;;FRANCE;;35626
SCHEFFAUER PHILIPP JAKOB;stuttgart, 1756, stuttgart, 1808;;1756-1808;9590
SCHERRIER MICHEL;Michel scherrier est le sculpteur du tombeau de l'archevêque jean ii carondelet (frère de ferry) en 1544;;1544;17579
SCHIFF MATHIAS;rettel-lès-sierck, 1862, nancy, 1886, nationalité : français;;1862-1886;8792
SCHIVO FELIX;Tarascon, 1924, senlis, 2006;;1924-2006;35630
SCHNABEL DAY;;;;12920
SCHNEGG GASTON;bordeaux, 1866, paris, 1953, nationalité : française;FRANCE;1866-1953;11918
SCHNEGG JACQUES LUCIEN;Bordeaux, 1864, paris, 1909;FRANCE;1864-1909;14369
SCHNEGG LUCIEN;Bordeaux, 1864, paris, 1909;FRANCE;1864-1909;11916
SCHNEIDER DOMINIQUE;;;;6891
SCHOENEWERK PIERRE ALEXANDRE;;FRANCE;;35688
SCHROEDER LOUIS JEAN DESIRE;Paris, 1828, paris, 1898;;1828-1898;16303
SCHULER ALF;Anzenbach, 1945;ALLEMAGNE;1945;14126
SCHULTZ ALBERT;Strasbourg, 1871, strasbourg, 1953;FRANCE;1871-1953;1864
SCHULTZE KLAUS;francfort (allemagne), 1927, ?, ?;;1927;6550
SCHUTTE THOMAS;Oldenbourg, 1954;ALLEMAGNE;1954;2206
SCHWARTZ HANS;;;;7969
SCHWEIGHOEUSER LOUIS;Strasbourg, 1760, ?;;1760;17733
SCHWOB JENNY;;;;36271
SCOPAS;;;;35701
SCUDDER JANET;;ETATS-UNIS;;35702
SEBASTIANO DEL PIOMBINO FRA;;ITALIE;;7987
SECHAS ALAIN;Colombes, 1955;FRANCE;1955;6876
SEDILLE PAUL;;;;16223
SEEBOECK FERDINAND;Vienne, 1864, ?;;1864;2218
SEGAL GEORGE;New york, 1924, ?, 2000;ETATS-UNIS;1924-2000;35703
SEGALA FRANCESCO;;ITALIE;;35704
SEGOFFIN VICTOR;toulouse, 05-03-1867, paris, 1923 - nationalité : française#fonderie andro : paris 06-1893. fondée en juin 1893, comme andro frères fonderie, plus tard allard et andro fonderie (mai 1895-août 1896), andro et sefert (août 1896-juin 1904), andro (juin 1904-1923), grandhomme-andro (1924-1929)veuve et andro (1929) (source : http:--monumentsmorts.univ-lille3.fr-auteur-212-andro-);;05-03-1867-1923-06-1893-1893-1895-1896-1896-1904-1904-1923-1924-1929-1929-3-212;12137
SEGUIN;;;;18027
SEMEL G;;FRANCE;;20764
SENOUFO;;;;12124
SENTIS DE VILLEMUR JOSEPH GABRIEL;Varennes, 1855, villemur-sur-tarn (31), 1937-09-09;FRANCE;1855-31-1937-09-09;20754
SERGE III;Meudon, 1927, nice, 2000;FRANCE;1927-2000;35720
SERGEFF JACQUES;;FRANCE;;35721
SERMEZY CLEMENCE SOPHIE DE;Lyon, 1767, charentay, 1850, femme;FRANCE;1767-1850;14381
SERMEZY SOPHIE DE;;;;14381
SERRAZ MICHEL;;FRANCE;;35724
SERRUYS YVONNE;Menen (belgique), 26 mars 1873, paris, 1er mai 1953, femme#née à menen (flandres) dans une famille francophone aisée, yvonne serruys étudia tout d'abord la peinture et le dessin avec emile claus. de 1892 à 1894 elle étudia à bruxelles dans l'atelier du peintre georges lemmen, membre des xx. puis elle retourna étudier avec claus.#après un séjour en italie et en grèce, elle exposa ses peintures au salon de 1898. date à laquelle elle décida de s'orienter vers la sculpture.#cette décision la ramena de nouveau à bruxelles où elle étudia la sculpture avec egide rombaux.#en 1904, elle partit à paris où elle ouvrit son propre atelier. #son oeuvre comprend 250 sculptures et plus de 300 maquettes préparatoires d'objets en pâte de verre réalisés en collaboration avec georges despret.#elle reçut de nombreuses commandes publiques, notamment un monument dédié à emile claus à gand, un autre dédié à paul cambon à tunis, ainsi que le monument au morts à menen.#elle rencontra pierre mille, écrivain, journaliste et diplomate et se maria avec lui en 1909.#elle reçut le titre de chavalier de la légion d'honneur en 1920, et fut décorée de l'ordre de léopold en 1934.#elle a offert un nombre important de ses oeuvres à la ville de menen, où un musée lui est désormais consacré (stadsmuseum t schippershof)#;BELGIQUE;26-1873-1-1953-1892-1894-1898-1904-250-300-1909-1920-1934;12921
SERVANES;Toulon, 1918, paris, 2000, femme;FRANCE;1918-2000;14142
SERVIAN RAYMOND;;FRANCE;;35725
SERVRANCKX VICTOR;Dieghem, 1897, vilvorde, 1965;BELGIQUE;1897-1965;14172
SEUREAU CHARLES;;FRANCE;;35726
SEURRE AINE;;;;8487
SEURRE CHARLES EMILE MARIE;Paris, 1798, paris, 1858;FRANCE;1798-1858;8493
SEURRE GABRIEL BERNARD;paris, 1795, paris, 1867;FRANCE;1795-1867;8487
SEVERAC LEON;;FRANCE;;35738
SEVIMLI HALUK;Songuldak, 1946;TURQUIE;1946;1883
SEVRES;;;;24712
SEYSSES AUGUSTE;toulouse, 1862, ?, 1946;;1862-1946;9752
SHAW CHARLES GREEN;;ETATS-UNIS;;35740
SHIELDS ALAN;Harrington, 1944;ETATS-UNIS;1944;1885
SHIONOYA HAKUZAN;Tokyo, 1932;JAPON;1932;13900
SICARD FRANÇOIS;tours, 1862-04-21, paris, 1934;;1862-04-21-1934;16394
SIDI;;;;24687
SIFER CONRAD;;;;4385
SIGG IRMGARD;Bielefeld, 1934, femme;FRANCE,ALLEMAGNE;1934;6812
SIGNORET LEDIEU LUCIE;Nevers, 1853, ?, 1904, femme;FRANCE;1853-1904;1473
SIGNORI ILIO;;ITALIE;;35750
SILANION;;;;35751
SILVERE GEORGES;;FRANCE;;35752
SILVESTRE PAUL;;FRANCE;;35753
SIMART PIERRE CHARLES;Troyes, 1806, paris, 1857;FRANCE;1806-1857;8502
SIMON MARIA;;ARGENTINE;;35855
SIMON PAUL FERNAND;;FRANCE;;35856
SIMONDS CHARLES;New york (etats-unis), 1945;;1945;10196
SIMONET;;;;6745
SIMONNET JEAN MARIE;;;;6542
SIMONNET MARTHE;;;;6542
SINDING STEPHEN;;NORVEGE;;35858
SINGEN;;;;24725
SIOT;;;;10404
SIOT DECAUVILLE;;;;17468
SIRINE REAL ERNESTINE;;FRANCE;;35859
SKAER LUCY;Cambridge (royaume-uni), 1975, femme;;1975;10248
SKLAVOS YERASSIMOS;domata, 1927, levallois-perret, 1967;GRECE;1927-1967;802
SLODTZ MICHEL ANGE;;;;20672
SLODTZ PAUL AMBROISE;Paris, 1702, paris, 1758;FRANCE;1702-1758;21835
SLODTZ RENE MICHEL;Paris,1705, paris, 1764;FRANCE;1705-1764;20671
SLODTZ SEBASTIEN;Anvers, 1655, paris, 1726;FRANCE;1655-1726;21829
SLUTER CLAUS;haarlem, 14e siècle, dijon, 1406, nationalité : anciens pays-bas;FLANDRE;14-1406;35860
SMILOWSKI JEAN;Lille, 1927, lille, 1989;FRANCE;1927-1989;11210
SMITH KIKI;Nuremberg, 1954, femme;ETATS-UNIS;1954;8739
SNELSON KENNETH;Pendleton, 1927;ETATS-UNIS;1927;14285
SOBRE HYACINTHE PHILEAS;;FRANCE;;35904
SOBRINO FRANCISCO;Guadalajara, 1932;ESPAGNE;1932;14198
SOCIETE DES BRONZES DE PARIS;;;;36227
SOCIETE FRANAAISE DE LA MEDAILLE;;;;23862
SOITOUX JEAN FRANÇOIS;Soitoux jean-françois, sculpteur. né à besançon le 5 septembre 1816. décédé à paris le 21 mai 1891. etudia dans les ateliers de david d'angers et de feuchères et débuta au salon de 1850, où il obtint une médaille de deuxième classe, avec une statue de la république, commandée en 1848 par le ministre de l'intérieur. cette statue fut érigée, en 1880, devant le palais de l'institut, et, lors de son inauguration, l'artiste, qui n'exposait plus depuis 1866, reçut la croix de la légion d'honneur. en dehors de quelques travaux exécutés au louvre, aux tuileries et à l'opéra, c'est à peu près la seule oeuvre qu'on connaisse de lui. il est mort à paris, le 21 mai 1891. inhumé d'abord à bagneux, il a été transporté, le 12 mai 1892, au cimetière montparnasse, dans une concession accordée gratuitement par la préfecture de la seine. (stanislas lami, dictionnaire des sculpteurs de l'ecole française au xixe siècle, paris, 1921, tome quatrième, p. 265-266);;5-1816-21-1891-1850-1848-1880-1866-21-1891-12-1892-1921-265-266;16304
SOLANO SUSANA;Barcelone (espagne), 1946, femme;;1946;10132
SOLARI PHILIPPE;;FRANCE;;35905
SOLDANI BENZI;1656 - 1740 (elève de ciro ferri.);;1656-1740;675
SOLDI COLBERT EMILE;Paris, 1846, rome, 1906;;1846-1906;17715
SOLDYCK ARTHUR;;;;35907
SOLIGNAC ALEXANDRE;;FRANCE;;35909
SOLIGNON LOUIS;;;;21815
SOLLIER;;;;27879
SOLUIGNOY A;;;;691
SONNENFELD LENKE;;;;8473
SONTGEN JEAN JOSEPH;Coesfeld, westphalie, 1719, nancy, 1788;FRANCE;1719-1788;20169
SOSNO SACHA;Marseille, 1937;FRANCE;1937;35910
SOSNOWSKI ALEXANDRE;;;;35911
SOUCHER F;;;;18327
SOUDBININE SERAPHIN;;RUSSIE;;35915
SOUDIEUX EMILE;;;;18319
SOUILLARD FELIX MARTIAL HENRI;Dieppe (?), 2ème moitié 19e siècle, 2e quart 20e siècle;;2-19-2-20;12469
SOUILLARD GEORGES ADOLPHE PERE;dieppe, 1854 (13 juillet), dieppe, 1935 (5 juin), nationalité : française#benet : dieppe, 1863 - 13 juillet, paris, 1942, nationalité : française;FRANCE;1854-13-1935-5-1863-13-1942;12567
SOUILLARD GEORGES MARCEL;dieppe, 1882 - 10 septembre, dieppe, 1945 - septembre;;1882-10-1945;12463
SOULES FELIX;;FRANCE;;35917
SOW OUSMANE;Dakar (sénégal), 1935;;1935;10186
SOYER LOUIS CLAUDE FERDINAND;paris, 1785, paris, 1854#inge charles : ?, ?#inge etinne : ?, paris, 1856;FRANCE;1785-1854-1856;20726
SOYER MATHILDE;;FRANCE;;35921
SPALLA GIACOMO;Turin, 1776, turin, 1834;ITALIE;1776-1834;8061
SPEAR J W;;ETATS-UNIS;;35925
SPICER SIMSON;;ETATS-UNIS;;35926
SPIRT DANIEL DE;paris, 1947, ?, ?;FRANCE;1947;4970
SPOERRI DANIEL;Galati, 1930;SUISSE;1930;2164
SPORRER JEAN;;FRANCE;;35927
STANKIEWICZ RICHARD;Philadelphie, 1922, worthington, 1983;ETATS-UNIS;1922-1983;14125
STARITSKY ANIA;Poltava, 1908, paris, 1981, femme;BELGIQUE,RUSSIE;1908-1981;14657
STARITSKY ANNA;;;;14657
STECCHI FABIO;;FRANCE;;35928
STEINBRENNER HANS;Francfort-sur-le-main, 1928;ALLEMAGNE;1928;4972
STEINER LEOPOLD CLEMENT;;FRANCE;;35930
STEINLEN THEOPHILE ALEXANDRE;lausanne, 1859, paris, 1923;FRANCE;1859-1923;12408
STELLA FRANK;Malden, 1936;ETATS-UNIS;1936;14261
STEPHAN ROBERT;?, 1943;FRANCE;1943;1886
STIENNE LOUIS;Strasbourg, 1845, strasbourg, 1908;FRANCE;1845-1908;1887
STOLL EMILE;Strasbourg, 1908, strasbourg, 1961;FRANCE;1908-1961;1889
STOLL PHILIPPE;Strasbourg, 1926;FRANCE;1926;1895
STOLLER ALEXANDER;;ETATS-UNIS;;35945
STORRS JOHN;Etats-unis, 1885, etats-unis, 1956-04-26;;1885-1956-04-26;16363
STOSKOPF JEAN LEONARD;Paris, 1941;FRANCE;1941;6817
STOUF JEAN BAPTISTE;Paris, 1742, charenton-le-pont, 1826;FRANCE;1742-1826;435
STRATMANN VEIT;Bochum, 1960;ALLEMAGNE;1960;1897
STRUNZ KATJA;Ottweiller, 1970, femme;ALLEMAGNE;1970;8743
SUBIRA PUIG JOSE;barcelone, 1925, ?, ?;;1925;10328
SUC;genève, 1792, ?, 1862, nationalité :suisse#suc : lorient, 1807, nantes, 1855, nationalité :france;SUISSE,FRANCE;1792-1862-1807-1855;13034
SUC ETIENNE EDOUARD;;FRANCE;;35946
SUCHETET AUGUSTE EDME;;FRANCE;;35949
SUDRE RAYMOND;;FRANCE;;35961
SUPERI JOSEPH;;;;27862
SURTEL PAUL;Reuilly (indre), 1893, carpentras, 1986;FRANCE;1893-1986;16249
SUSINI ANTONIO;;;;10528
SUSSE;;;;35348
SUSSE FRERES;;;;23996
SUSSMANN HELLBORN LUDWIG;;ALLEMAGNE;;35964
SUTER AUGUST;;SUISSE;;35965
SUZANNE FRANÇOIS MARIE;;FRANCE;;35966
SWAN JOHN MACALLAN;;ANGLETERRE;;35968
SWIECINSKI GEORGES CLEMENT DE;;FRANCE,ROUMANIE;;35969
SYAMOUR;Bréry, 10 août 1857, paris, 21 mai 1945;;10-1857-21-1945;17700
SYLBERER MLLE;;FRANCE;;35970
SYMIAN VICTOR ETIENNE;saint-gengoux-le-national, 17 septembre 1826, londres, 1888, -;FRANCE;17-1826-1888;5185
SZEKELY PIERRE;Budapest, 1923, paris, 2001;HONGRIE,FRANCE;1923-2001;4980
SZIRMAI ANTAL TONY;Budapest, 1871, ?, 1938;HONGRIE;1871-1938;12621
SZIRMAI TONY;;;;12621
TACCA PIETRO;Carrare, 1577, florence, 1640;ITALIE;1577-1640;10704
TADOLINI SCIPIONE;?, 1822, ?, 1893;ITALIE;1822-1893;35971
TAEUBER ARP SOPHIE;Davos, 1889, zurich, 1943, femme;FRANCE,SUISSE;1889-1943;1899
TAEUBER SOPHIE HENRIETTE;;;;2231
