;reference;auteur;date_acquisition;denomination;date_de_mise_a_jour;date_de_creation;domaine;ecole_pays;epoque;lieu_de_creation_utilisation;millesime_de_creation;identifiant_museofile;precision_auteur;periode_de_creation;sujet_represente;materiaux_techniques;titre;Date_Acquisition_1;Epoque_1;Dénomination_1;Ecole_pays_1;P1;P_Dates;Titre_Oeuvre;Auteur_1;Auteur-1;Auteur-2;Auteur-3;Auteur-4;Auteur-5;Auteur-6;Auteur-7;Domaine_1;Domaine-1;Domaine-2;Domaine-3;Domaine-4;Domaine-5
16;1370025137;HAJDU Etienne (auteur),manufacture de Sèvres (manufacture);1986;Assiette;2018-05-14;2009-04-08;arts décoratifs,céramique;France;;;1970;M0137;Hajdu : turda, 1907, bagneux, 1996, nationalité : française;3e quart 20e siècle;représentation non figurative;porcelaine;;1986;;Assiette;FRANCE;turda, 1907, bagneux, 1996, nationalité : française;1907-1996;;HAJDU ETIENNE ,MANUFACTURE DE SEVRES;HAJDU ETIENNE;MANUFACTURE DE SEVRES;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
17;1370031008;anonyme (verrier);1878;Verre (à pied);;2006-03-31;verrerie,arts décoratifs;Italie, Venise (?),Venise (?, façon de);;Italie,Venise (lieu de création);;M0137;;19e siècle;représentation animalière (baleine, poisson),ornement à forme géométrique (rayure);verre (polychrome), filigrané;;1878;;Verre à pied;ITALIE, VENISE ,VENISE;;;;ANONYME;ANONYME;;;;;;;VERRERIE,ARTS DÉCORATIFS;VERRERIE;ARTS DÉCORATIFS;;;
18;1390002172;anonyme;1982;Chasuble;2020-10-07;2002-12-16;arts décoratifs,croyances - coutumes,costume - accessoires du costume;;;France,Bourgogne-Franche-Comté,Côte-d'Or,Dijon (lieu d'utilisation);;M0139;;1ère moitié 18e siècle;paysage (dattier, île, ananas, maison, arbre, Chinois, oiseau, perroquet, cygne, flamant, fleur, mimosa);soie, coton, satin, broché, damas, broderie, taffetas, toile, moiré;chasuble blanche;1982;;Chasuble;;;;CHASUBLE BLANCHE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CROYANCES - COUTUMES,COSTUME - ACCESSOIRES DU COSTUME;ARTS DÉCORATIFS;CROYANCES - COUTUMES;COSTUME - ACCESSOIRES DU COSTUME;;
19;1390002175;anonyme;1982;Chasuble;2020-10-07;2002-12-16;arts décoratifs,croyances - coutumes,costume - accessoires du costume;;;France,Bourgogne-Franche-Comté,Côte-d'Or,Dijon (lieu d'utilisation);;M0139;;1ère moitié 18e siècle;ornementation (ornement à forme végétale, fleur, jonc, guirlande, bouquet, ruban orn);soie, gros de Tours, liseré, broché, taffetas;chasuble blanche;1982;;Chasuble;;;;CHASUBLE BLANCHE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CROYANCES - COUTUMES,COSTUME - ACCESSOIRES DU COSTUME;ARTS DÉCORATIFS;CROYANCES - COUTUMES;COSTUME - ACCESSOIRES DU COSTUME;;
20;1390002241;anonyme;1998;Chasuble;2019-03-08;2002-12-13;arts décoratifs,croyances - coutumes,costume - accessoires du costume;;;;;M0139;;18e siècle,19e siècle;ornementation (ornement à forme végétale, rinceau, fleur, jonc, agneau, livre, sceau, rayons lumineux);soie, coton, toile, pékin, taffetas, chiné à la branche, satin, cannelé simpleté, broché, broderie;;1998;;Chasuble;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CROYANCES - COUTUMES,COSTUME - ACCESSOIRES DU COSTUME;ARTS DÉCORATIFS;CROYANCES - COUTUMES;COSTUME - ACCESSOIRES DU COSTUME;;
21;1390002250;anonyme;1996;Chasuble;2019-03-08;2002-12-13;arts décoratifs,croyances - coutumes,costume - accessoires du costume;;;;;M0139;;1er quart 18e siècle;ornementation (ornement à forme géométrique, ornement à forme végétale);soie, coton, damas satin de 5, broché, satinette;;1996;;Chasuble;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CROYANCES - COUTUMES,COSTUME - ACCESSOIRES DU COSTUME;ARTS DÉCORATIFS;CROYANCES - COUTUMES;COSTUME - ACCESSOIRES DU COSTUME;;
22;1390002256;anonyme,TASSINARI & CHATEL (fabrique de vêtements liturgiques);1986;Chasuble;2020-09-09;2002-12-16;arts décoratifs,croyances - coutumes,costume - accessoires du costume;;;France,Auvergne-Rhône-Alpes,Rhône,Lyon (lieu d'exécution),France,Bourgogne-Franche-Comté,Côte-d'Or,Dijon (lieu d'utilisation);;M0139;Tassinari et chatel : cleto tassinari, d'une famille de soyeux bolognais, s'installe à lyon après l'invasion des etats de l'eglise par les autrichiens en 1856. associé en 1859 à louis chatel, il succède à pernon et à grand, fournisseurs en vêtements liturgiques de la reine amélie de 1830 à 1848. la paramentique reste le fleuron de la fabrique : en 1870, elle expose les vêtements de pie ix à rome... vers 1908 cependant, chatel et tassinari abandonnent la paramentique.;20e siècle;ornementation (ornement à forme végétale, bouquet, fleur);soie, rayonne (viscose), satin, velours coupé, velours uni, sergé;;1986;;Chasuble;;cleto tassinari, d'une famille de soyeux bolognais, s'installe à lyon après l'invasion des etats de l'eglise par les autrichiens en 1856. associé en 1859 à louis chatel, il succède à pernon et à grand, fournisseurs en vêtements liturgiques de la reine amélie de 1830 à 1848. la paramentique reste le fleuron de la fabrique : en 1870, elle expose les vêtements de pie ix à rome... vers 1908 cependant, chatel et tassinari abandonnent la paramentique.;1856-1859-1830-1848-1870-1908;;ANONYME,TASSINARI & CHATEL;ANONYME;TASSINARI & CHATEL;;;;;;ARTS DÉCORATIFS,CROYANCES - COUTUMES,COSTUME - ACCESSOIRES DU COSTUME;ARTS DÉCORATIFS;CROYANCES - COUTUMES;COSTUME - ACCESSOIRES DU COSTUME;;
23;1390002293;anonyme;1979;Chasuble;2019-03-08;2002-12-16;arts décoratifs,croyances - coutumes,costume - accessoires du costume;;;;1930;M0139;;2e moitié 18e siècle,2e quart 20e siècle;ornementation (ornement à forme végétale, bouquet, fleur, guirlande, IHS);soie, coton, sergé, broché, broderie, point de chaînette, satinette;;1979;;Chasuble;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CROYANCES - COUTUMES,COSTUME - ACCESSOIRES DU COSTUME;ARTS DÉCORATIFS;CROYANCES - COUTUMES;COSTUME - ACCESSOIRES DU COSTUME;;
24;1390002304;anonyme;1991;Chasuble,ensemble (5),élément d'ensemble;2019-03-08;2002-12-16;arts décoratifs,croyances - coutumes,costume - accessoires du costume;;;;;M0139;;18e siècle;ornementation (ornement à forme végétale, bouquet, fleur, guirlande);soie, coton, satin, satinette;;1991;;Chasuble,ensemble 5,élément d'ensemble;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CROYANCES - COUTUMES,COSTUME - ACCESSOIRES DU COSTUME;ARTS DÉCORATIFS;CROYANCES - COUTUMES;COSTUME - ACCESSOIRES DU COSTUME;;
25;1390002313;anonyme;1994;Chasuble;2019-03-08;2002-12-16;arts décoratifs,croyances - coutumes,costume - accessoires du costume;;;;;M0139;;1ère moitié 18e siècle;ornementation (ornement à forme végétale, fleur, guirlande, tulipe, chèvrefeuille, fougère, jonc);soie, coton, satin, satinette;;1994;;Chasuble;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CROYANCES - COUTUMES,COSTUME - ACCESSOIRES DU COSTUME;ARTS DÉCORATIFS;CROYANCES - COUTUMES;COSTUME - ACCESSOIRES DU COSTUME;;
26;1390002322;anonyme;1995;Chasuble,ensemble (5),élément d'ensemble;2019-03-08;2002-12-13;arts décoratifs,croyances - coutumes,costume - accessoires du costume;;;;;M0139;;2e moitié 18e siècle;ornementation (ornement à forme végétale, bouquet, fleur);soie, coton, pékin, satin, liseré, cannelé simpleté, satinette;;1995;;Chasuble,ensemble 5,élément d'ensemble;;;;;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CROYANCES - COUTUMES,COSTUME - ACCESSOIRES DU COSTUME;ARTS DÉCORATIFS;CROYANCES - COUTUMES;COSTUME - ACCESSOIRES DU COSTUME;;
27;1390002601;GOLIARD Guillaume (orfèvre);1980;Ciboire;2020-10-07;2002-12-13;arts décoratifs,croyances - coutumes,orfèvrerie;France;;France,Bourgogne-Franche-Comté,Côte-d'Or,Dijon (lieu de création, lieu d'utilisation);;M1208;;4e quart 17e siècle;ornementation (ornement à forme végétale, jonc, croix);argent, doré, repoussé;;1980;;Ciboire;FRANCE;;;;GOLIARD GUILLAUME;GOLIARD GUILLAUME;;;;;;;ARTS DÉCORATIFS,CROYANCES - COUTUMES,ORFÈVRERIE;ARTS DÉCORATIFS;CROYANCES - COUTUMES;ORFÈVRERIE;;
28;1390002723;DUBRET Charles (orfèvre);1980;Calice;2020-10-07;2002-12-13;arts décoratifs,croyances - coutumes,orfèvrerie;France;;France,Bourgogne-Franche-Comté,Côte-d'Or,Dijon (lieu de création, lieu d'utilisation);;M1208;Dubret : vesoul, 1847-10-30, ?, 1910;4e quart 19e siècle;figure biblique,en médaillon (Sacré-Coeur, Christ, saint Michel, dragon, saint Claude de Besançon, mitre, crosse, Vierge à l'Enfant, saint Bénigne, palme, saint François d'Assise),ornementation (blé, vigne, ruban orn);argent, pierre synthétique, doré, fonte, ciselé, glaçure;;1980;;Calice;FRANCE;vesoul, 1847-10-30, ?, 1910;1847-10-30-1910;;DUBRET CHARLES;DUBRET CHARLES;;;;;;;ARTS DÉCORATIFS,CROYANCES - COUTUMES,ORFÈVRERIE;ARTS DÉCORATIFS;CROYANCES - COUTUMES;ORFÈVRERIE;;
29;1510000001;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France (lieu de création),France,Bourgogne,Nièvre (lieu d'utilisation);;M0151;;1ère moitié 18e siècle;ornementation (ornement à forme végétale, bouquet : fleur, arabesque);faïence, décor de grand feu, camaïeu, émail;Saucière ovale à décor d'arabesques et d'une corbeille de fleurs;1912-1970;;;;;;SAUCIERE OVALE A DECOR D'ARABESQUES ET D'UNE CORBEILLE DE FLEURS;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
30;1510000002;LEROY MARSEILLE (?, manufacture);1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille (lieu de création),France,Bourgogne,Nièvre (lieu d'utilisation);;M0151;;2e moitié 18e siècle;scène (personnage : chimère, musique, harpe),ornementation (ornement à forme végétale, fleur, insecte);faïence, décor de grand feu, camaïeu, émail;Assiette à la chimère jouant de la harpe;1912-1970;;;;;;ASSIETTE A LA CHIMERE JOUANT DE LA HARPE;LEROY MARSEILLE;LEROY MARSEILLE;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
31;1510000003;LEROY MARSEILLE (?, manufacture);1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Provence-Alpes-Côte d'Azur,Bouches-du-Rhône,Marseille (lieu de création),France,Bourgogne,Nièvre (lieu d'utilisation);;M0151;;2e moitié 18e siècle;ornementation (oiseau, feuille);faïence, décor de grand feu, camaïeu, émail;Assiette à l'oiseau de proie;1912-1970;;;;;;ASSIETTE A L'OISEAU DE PROIE;LEROY MARSEILLE;LEROY MARSEILLE;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
32;1510000004;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Moustiers-Sainte-Marie (lieu de création),France,Bourgogne,Nièvre (lieu d'utilisation);1760;M0151;;3e quart 18e siècle;ornementation (ornement à forme végétale, fleur);faïence, décor de grand feu, pochoir, chantourné, émail;Assiette au décor de fleurs de pomme de terre;1912-1970;;;;;;ASSIETTE AU DECOR DE FLEURS DE POMME DE TERRE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
33;1510000005;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Moustiers-Sainte-Marie (lieu de création),France,Bourgogne,Nièvre (lieu d'utilisation);1750;M0151;;3e quart 18e siècle;ornementation (ornement à forme végétale, fleur, bouquet, guirlande);faïence, décor de grand feu, chantourné, camaïeu, émail;Plat oblong et creux à décor d'un bouquet de fleurs;1912-1970;;;;;;PLAT OBLONG ET CREUX A DECOR D'UN BOUQUET DE FLEURS;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
34;1510000006;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Moustiers-Sainte-Marie (lieu de création),France,Bourgogne,Nièvre (lieu d'utilisation);1750;M0151;;3e quart 18e siècle;ornementation (ornement à forme végétale, fleur, ornement à forme animale : papillon, chimère, grotesque, vieillard);faïence, décor de grand feu, chantourné, camaïeu, émail;Plat oblong figurant un vieillard rencontrant des chimères;1912-1970;;;;;;PLAT OBLONG FIGURANT UN VIEILLARD RENCONTRANT DES CHIMERES;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
35;1510000007;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;;;M0151;;2e quart 18e siècle,3e quart 18e siècle;ornementation (ornement à forme végétale, fleur, ornement à forme animale : héron);faïence, décor de grand feu, chantourné, camaïeu, émail;Assiette au héron et décor bucolique;1912-1970;;;;;;ASSIETTE AU HERON ET DECOR BUCOLIQUE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
36;1510000008;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Provence-Alpes-Côte d'Azur,Alpes-de-Haute-Provence,Moustiers-Sainte-Marie (lieu de création),France,Bourgogne,Nièvre (lieu d'utilisation);1760;M0151;;3e quart 18e siècle;ornementation (ornement à forme végétale, bouquet, fleur);faïence, décor de grand feu, chantourné, polychromie, pochoir, émail;Assiette au décor de fleurs de pomme de terre;1912-1970;;;;;;ASSIETTE AU DECOR DE FLEURS DE POMME DE TERRE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
37;1510000009;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;Pays-Bas,Delft (lieu de création),France,Haute-Normandie,Seine-Maritime,Rouen (lieu de création),France,Bourgogne,Nièvre (lieu d'utilisation);;M0151;;1ère moitié 18e siècle;ornementation (ornement à forme végétale, fleur, stylisé);faïence, décor de grand feu, polychromie, émail;Plat circulaire à décor floral;1912-1970;;;;;;PLAT CIRCULAIRE A DECOR FLORAL;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
38;1510000010;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre,Nevers (lieu de création),France,Bourgogne,Nièvre,Nevers (?) (lieu d'utilisation);1792;M0151;;4e quart 18e siècle;ornementation (allégorie : Révolution française, bras, balance, blé : épi, fleur);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette au bras de justice tenant une balance;1912-1970;;;;;;ASSIETTE AU BRAS DE JUSTICE TENANT UNE BALANCE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
39;1510000011;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre,Nevers (lieu de création),France,Bourgogne,Nièvre,Nevers (lieu d'utilisation);1785,1789;M0151;;4e quart 18e siècle;ornementation (allégorie : Révolution française, armoiries : fleur de lys, drapeau, tambour, trompette, couronne, ornement à forme végétale, fleur);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette à l'écu aux trois fleurs de lys couronné;1912-1970;;;;;;ASSIETTE A L'ECU AUX TROIS FLEURS DE LYS COURONNE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
40;1510000012;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre,Nevers (lieu de création, lieu d'utilisation);1791,1792;M0151;;4e quart 18e siècle;ornementation (allégorie : Révolution française, arbre : liberté, bonnet phrygien, ornement à forme géométrique);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette avec arbre de la liberté surmonté d'un bonnet phrygien;1912-1970;;;;;;ASSIETTE AVEC ARBRE DE LA LIBERTE SURMONTE D'UN BONNET PHRYGIEN;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
41;1510000013;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre,Nevers (lieu de création, lieu d'utilisation);1785;M0151;;4e quart 18e siècle;ornementation (montgolfière, drapeau, ornement à forme végétale, fleur, stylisé);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette à la montgolfière;1912-1970;;;;;;ASSIETTE A LA MONTGOLFIERE;ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
42;1510000014;anonyme;1912 acquis, 1970 entrée matérielle;;;2013-10-23;arts décoratifs,céramique;;;France,Bourgogne,Nièvre (lieu de création, lieu d'utilisation);;M0151;;2e moitié 18e siècle;ornementation (ornement à forme végétale, fleur, guirlande);faïence, décor de grand feu, chantourné, polychromie, émail;Assiette patronymique dédicacée 'Le Blanc';1912-1970;;;;;;ASSIETTE PATRONYMIQUE DEDICACEE 'LE BLANC';ANONYME;ANONYME;;;;;;;ARTS DÉCORATIFS,CÉRAMIQUE;ARTS DÉCORATIFS;CÉRAMIQUE;;;
