Auteur;P1;Ecole_pays_1;P_Dates;Id
BELLAN P;;;;4748
BENEDETTI GIUSEPPE;bologne, 1707, bologne, 1782, nationalité : italienne ,#menabuoni : ?, 1708, ?, 1745;ITALIE;1707-1782-1708-1745;6139
BENEDETTI IGNAZIO;?, 1725, ?, 1790;ITALIE;1725-1790;5963
BENNER;;;;9298
BERAIN JEAN;?, 4 juin 1640, ?, 24 janvier 1711#lepautre pierre : ?, 1652, ?, 1716#haly jean-baptiste : emailleur actif à nevers vers 1771, nationalité : française;FRANCE;4-1640-24-1711-1652-1716-1771;7561
BERGE HENRY;;;;5423
BERGMANN ANTOINE JOSEPH;?, 1776, ?, 1839;;1776-1839;274
BERTINI ANGELO;?, 1783, ?, 1838#borani : ?, 1810, ?, ?;ITALIE;1783-1838-1810;5649
BERTRAND ALICE;nantes, 1981, femme;;1981;7525
BESNARD PAUL ALBERT;;;;7563
BEZAULT JOSEPH;- 1865 la manufacture joseph bezault est établi 275 faubourg saint-antoine à paris dans l'ancienne fabrique polge dont il a été l'associé. - technique pratiquée : impression à la planche - 1862, londres, exposition universelle, médaille d'honneur - 1869, ouverture d'une succursale à londres - 1867, paris, exposition universelle, médaille d'or - 1878, paris, exposition universelle, médaille d'or - 1879, raison sociale bezault et pattey fils - 1882, participation à l'exposition des beaux-arts appliquées à l'industrie - 1883 mention de l'entreprise 15 rue picpus - mention dans les almanachs jusqu'en 1895.#petit : décorateur d'appartement, élève de cicéri. il a réalisé le décor du casino de vichy et fournit le modèle du décor louis xvi de la manufacture de papier peint bezault qui emporta une médaille d'or à l'exposition universelle de 1867.#dumont : colleville-montgomery (14), 1829, paris, 1913, il a transposé en papier peint;FRANCE;1865-275-1862-1869-1867-1878-1879-1882-1883-15-1895-1867-14-1829-1913;7527
BIANCHI;opticientoulouse.fr);;;316
BIANCHI GAETANO;?, 1819, ?, 1892;ITALIE;1819-1892;6129
BIANCO GAETANO;;;;5641
BIENAYME;deux 'bienaymé' à dieppe sont connus dans le dictionnaire des horlogers de tardy : - marchand horloger en 1783 - dépose en 1842, un brevet pour le quantième perpétuel bissextile et séculaire, médaille de bronze en 1849;;1783-1842-1849;6794
BIENNAIS MARTIN GUILLAUME;lacochère, 1764, paris, 1843, nationalité : française, orfèvre de l'empereur et roi à paris;FRANCE;1764-1843;3000
BIGOT ALEXANDRE;mer, 5 novembre 1862, paris, 27 avril 1927#masculin;;5-1862-27-1927;7529
BIGOURAT CLAUDE;?, ?, ?, 22 mai 1754, nationalité : française;;22-1754;490
BIGOURAT CLAUDE GUILLAUME;?, 1735, ?, 1794, nationalité : française, manufacture la croix d'or-le lion d'or-la fleur de lys : de 1751 à 1833;;1735-1794-1751-1833;572
BILLY NICOLA;?, 1727, ?, 1803;ITALIE;1727-1803;5751
BLANC SUBES FRANÇOISE;;;;6634
BLOCH ACHILLE;;FRANCE;;688
BLONDAT MAX;;;;5152
BLONDEAU PIERRE;;;;8609
BLONDEL MERRY JOSEPH;paris, 1781, paris, 1853, nationalité : française#laffitte : ?, 1770, ?, 1828, nationalité : française#mader : ?, 1789, paris, 1830 dessinateur transposant en papier peint#dufour : auteur de l'édition originale, : - 1797 installation à mâcon sous son nom après des collaborations à lyon - 1806 succès à l'exposition des produits de l'industrie française - 1808 installation à paris, rue beauvau, faubourg saint-antoine - raison sociale en 1812 : dufour - raison sociale en 1816 : joseph dufour - raison sociale de 1820 à 1826 : j. dufour et cie - 1819 médaille d'argent à l'exposition des produits de l'industrie française - 1822 association de joseph dufour avec son gendre (voir dufour et leroy);FRANCE;1781-1853-1770-1828-1789-1830-1797-1806-1808-1812-1816-1820-1826-1819-1822;7530
BLOT EUGENE;grandvilliers, 14 novembre 1830, grandvilliers, 1899;FRANCE;14-1830-1899;869
BLOT JACQUES;;;;7534
BLOT PAUL;;;;7534
BODEN JOHANN FRIEDRICH;brunswick, 1762, strasbourg, 1826;;1762-1826;7537
BOEHM;;;;8829
BOENDER MATHIJS;;;;7071
BOENDER MATHYS;;;;7071
BOETZEL ERNEST;sarreguemines, 1830, ?, 1920;FRANCE;1830-1920;6027
BOILLY LOUIS LEOPOLD;la bassée, 1761, paris, 1845 ,#vanni : ?, 1757, ?, 1792;FRANCE,ITALIE;1761-1845-1757-1792;5973
BOILY LUDOVICO OTTAVIO;actif au 18e siècle# casanova : londres (royaume-uni), 1727, brühl (autriche), 1802;ITALIE;18-1727-1802;6349
BOITEAU MICHEL;;;;8684
BONAIUTI IGNAZIO;?, 1787, ?, 1830#borani : ?, 1810, ?, ?;ITALIE;1787-1830-1810;5653
BONAIUTI RAFFAELLO;;;;5733
BONETTI MATTIA;;;;5192
BONVALLET LUCIEN;paris, 1861, paris, 1919#ernest cardeilhac : beauvais, 1857, paris, 1940;;1861-1919-1857-1940;7223
BORANI GIOVANNI BATTISTA;;;;5787
BORNE ETIENNE;;FRANCE,NEVERS;;890
BORNIER NICOLAS;bourberain, 1762-07-26, dijon, 1829-09-18;;1762-07-26-1829-09-18;7552
BOSSI GIACOMO;?, 1727, ?, 1792;ITALIE;1727-1792;6121
BOUCHER FRANÇOIS;paris, 1703, paris, 1770, manufacture de beautiran - j.p. meillier et cie (manufacture);FRANCE;1703-1770;6401
BOUGAREL CHARLES FRANÇOIS;;;;580
BOUILLON PIERRE;thiviers (dordogne), 1776, paris, 1831;FRANCE;1776-1831;5623
BOULLEMIER HILAIRE FRANÇOIS FILS;;;;3300
BOURCIER BARTHELEMY;?, ?, ?, 1676;FRANCE;1676;7553
BOURDOIS ET BLOCH;;;;696
BOURG HYACINTHE PROSPER;hyacinthe-prosper bourg est un orfèvre parisien dont le premier poinçon a été insculpé en 1824 et biffé en 1844 et le poinçon de grosse orfèvrerie insculpé en 1844 et biffé en 1854.#montagny : f. montagny est, au 19e siècle, un créateur de médailles et de médaillons à sujet religieux.;;1824-1844-1844-1854-19;7554
BOURGEOIS O;;;;1515
BOURGOIS O;;FRANCE;;1511
BOUZONNET STELLA CLAUDINE;lyon, 7 juillet 1636, paris (ville), 1er octobre 1697, femme, nationalité : française;;7-1636-1-1697;492
BREPOLS;groupe brépols implanté à turnhout à belgique depuis 1797 - création d'une usine à hallouin en france en 1921 pour l'impression du papier peint sous le nom de société française des papiers brépols - fermeture en 1984, nationalité : belge;BELGIQUE;1797-1921-1984;7555
BRICE OLIVIER;;;;5184
BRIERE;;;;2418
BRIGHT & SONS J;;;;6802
BROUARD HENRI;;;;8835
BROWN MATHER;;;;6484
BRUNHOFF MICHEL DE;paris, 06-02-1892, paris, 14-05-1958, nationalité : française# guerycolas : 1902, 1957;;06-02-1892-14-05-1958-1902-1957;6846
BRUNOT JEAN BAPTISTE;reçu maître en 1773 exerce en l'an vii (1798-1799), nationalité : française;FRANCE;1773-1798-1799;1591
BRUNOT MARTIN;dijon, 1655, dijon, 1734;FRANCE;1655-1734;7556
BRUNOT MATHIEU;dijon, 1707, dijon, 1782, nationalité : française;FRANCE;1707-1782;10
BUGATTI CARLO;1856, 1940;;1856-1940;7239
BURET PIERRE;rouen, ?, ?, ?, nationalité : française;FRANCE;;1727
BUSSIERE ERNEST;ars-sur-moselle, 1863, nancy, 1913, nationalité : française#keller et guerin : atelier keller et guérin, lunéville, 19e - 20e siècle;FRANCE,LORRAINE;1863-1913-19-20;7557
BUZIN;la manufacture buzin prit la suite vers 1894 de la maison hoock frères, elle-même successeur de délicourt et fut rachetée en 1913 par alfred hans.;FRANCE;1894-1913;7558
BVRB;;;;2993
CADOT;manufacture installée 25 et 29 rue de rambouillet, 75012 paris et cité dans les annuaires du commerce entre 1874 et 1900#lovatelli-colombo : rome, ?, ?, ?;FRANCE,ITALIE;25-29-75012-1874-1900;7562
CAILLOUX PROSPER;orfèvre de 'petite partie' etabli 12 rue des billettes poinçon insculpé le 6 avril 1826 poinçon biffé le 12 mai 1849, nationalité : française;FRANCE;12-6-1826-12-1849;1551
CAILLY J C;les cailly sont une famille d'horloger de saint-nicolas d'aliermont, on n'a pas de trace d'un j.-c. cailly mais lucien senateur cailly, horloger et fabricant d'horlogerie épouse à saint-nicolas d'aliermont en 1829 rose stéphanie croutte, horlogère. ils ont 4 enfants. on retrouve la famille cailly à rouen en 1835 associée à eude : eude et cailly prennent un brevet pour des bateaux se balançant sur des vagues pour orner des pendules;;1829-4-1835;6783
CALLEDE ALEXANDRE;morcenx, 1899, pessac, 1980#fruges : bordeaux, 1879, camblanes, 1974;FRANCE;1899-1980-1879-1974;6693
CAMERANO IO;;;;6195
CAMERE HENRI;;;;3370
CAMONCINI;;ITALIE;;5667
CAMPANA FERDINANDO;graveur actif au 18e siècle#casanova : ?, 1727, ?, 1803;ITALIE;18-1727-1803;5777
CAMPANA PIETRO;?, 1727, ?, 1765;ITALIE;1727-1765;5945
CAMPANA VINCENZO;;;;5843
CAMPIGLIA GIOVANNI DOMENICO;?, 1692, ?, 1775;ITALIE;1692-1775;5893
CAMUS JACQUES;;;;2566
CANTAGALLI;;;;123
CARDEILHAC ERNEST;;;;7225
CARLES JEAN;1892, 1966;;1892-1966;6850
CARMONTELLE;;;;4114
CARRACHE ANNIBAL;;;;1453
CARRACHE AUGUSTIN;;;;1453
CARRIER BELLEUSE;;;;7230
CARRIER BELLEUSE ALBERT ERNEST;anisy-le-château (aisne), 1824, sèvres, 1887, jules dalou : paris, 1838, paris, 1902, paris, pierre manguin : paris, 1815, paris, 1869;;1824-1887-1838-1902-1815-1869;7230
CARRIES JEAN;lyon, 1855, paris, 1894;;1855-1894;129
CARROGIS LOUIS;paris, 1717, paris, 1806;FRANCE;1717-1806;4114
CASANOVA FRANCESCO GIUSEPPE;?, 1727, ?, 1803#campana : graveur actif au 18e siècle;ITALIE;1727-1803-18;5729
CASTERA PIERRE;orléans, 1693, orléans, 1750;FRANCE;1693-1750;2183
CAUCHOIX ROBERT AGLAE;cormeilles-en-parisis, 1776, ?, 1845;;1776-1845;289
CAUSSY;2e moitié 18e siècle;;2-18;6824
CAUVET GILLES PAUL;;;;8828
CAZENOVE YOLAND;buzet-sur-baïse, 1914-01-10, orléans, 2009-07-09;FRANCE;1914-01-10-2009-07-09;2229
CELLINI BENVENUTO;florence, 1500, florence, 1571;ITALIE,FLORENCE;1500-1571;4120
CEPPAROLI FRANCESCO;londres (royaume-uni), 1727, brühl (autriche), 1802;ITALIE;1727-1802;5849
CHAIMOWICZ MARC CAMILLE;?, 1946, ?, ?;;1946;328
CHAIN JEAN;reçu maître à avallon en 1760 etabli à semur-en-auxois en 1767 exerce à semur-en-auxois en l'an vii (1798-1799), nationalité : française;FRANCE;1760-1767-1798-1799;1587
CHAMPAIGNE PHILIPPE DE;;;;6412
CHAPLAIN JULES CLEMENT;mortagne-au-perche, 1839, paris, 1909, nationalité : française;FRANCE;1839-1909;4630
CHAPU HENRI MICHEL ANTOINE;;;;7581
CHARLES;;;;8858
CHARPENTIER ALEXANDRE;paris, 1856, neuilly-sur-seine, 1909#besnard paul albert : paris, 1849, ?, 1934, nationalité : française;FRANCE;1856-1909-1849-1934;7563
CHARVET JEAN GABRIEL;;;;1771
CHAUDON;;;;7195
CHAUMONT MAISON;;;;7564
CHERET JULES;paris, 1836, nice, 1932;FRANCE;1836-1932;7566
CHERON CHARLES JEAN FRANÇOIS;?, 1635, ?, 1698;;1635-1698;3220
CHEVALIER CLAUDE LOUIS;maître tabletier en 1776, imitateur de thomas compigné;FRANCE;1776;7565
CHOLET;;;;7975
CHRISTOFLE;entreprise d'orfèvrerie française, fondée à paris en 1830 par charles christofle (1805-1863).;FRANCE;1830-1805-1863;4494
CHROMBOS;;;;9300
CIVILETTI BENEDETTO;photographe à palerme;ITALIE;;7570
CLAUDE MICHEL;;;;7571
CLERC & MARGERIDON;- 1841 raison sociale magnier, clerc er margueridon apparait au 30-32 rue basfroi à paris - 1847, installation 36 rue st bernard - 1849, 46 rue neuve-des-petits - 1850, 26 rue saint-bernard - médaille de bronze à l'exposition des produits de l'industrie française - 1860 raison sociale clerc & margeridon - 1866 ou 1867 reprise par desfossé et karth;;1841-30-32-1847-36-1849-46-1850-26-1860-1866-1867;2650
CLERICI FELICE;Né en 1745, mort en 1788;;1745-1788;6979
CLERISSY;;;;7021
CLODION;nancy, 1738, paris, 1814, nationalité : française;FRANCE;1738-1814;7571
COGNIET LEON;;;;7595
COLLAS ACHILLE;?, 1795, ?, 1859;FRANCE;1795-1859;2115
COLLET ET CRON;;;;8845
COLOMBY ABRAHAM;;;;4744
COLTELLINI LODOVICO;?, 1720, ?, 1810;ITALIE;1720-1810;6085
CONRADE AUGUSTIN;nevers, 1585, ?, 1611;;1585-1611;400
CONRADE LES;;ITALIE;;6962
CONSONI NICOLA;;;;5663
CONSORTI BERNARDINO;?, 1780, ?, 1859#guglielmi : ?, 1804, ?, 1862;ITALIE;1780-1859-1804-1862;5937
COPELAND J;;;;5611
CORADO AGOSTINO;;;;6962
CORADO BATTISTA;;;;6962
CORADO DOMENICO;;;;6962
CORDIER GUILLAUME;?, 1725, ?, 1785;FRANCE;1725-1785;6646
CORSI ANTONIO;actif en 1800-1811, campiglia : ?, 1692, ?, 1775;ITALIE;1800-1811-1692-1775;5805
COUAILLET ARMAND;paris, 22 janvier 1865, ?, 30 octobre 1954, renard : dieppe, 30 avril 1842, ?, ?, nationalité : française;;22-1865-30-1954-30-1842;6818
COUAILLET FRERES;entreprise fondée en 1903, par armand couaillet et ses frères, ernest et henri et crée les établissements ' couaillet frères '. henri seconde armand dans les affaires et ernest dirige la fabrication. l'entreprise familiale est spécialisée dans les pendules de cheminée et les pendules de voyage. elle fournit 3 à 4000 pièces par mois au début du xxe siècle. les ateliers comptent alors près de 150 ouvriers. suite à un incendie dévastateur en 1912, l'entreprise couaillet frère achète les ateliers delépine-barrois, appartenant à l'origine à honoré pons. ils fabriquent de nombreuses variétés de pendulettes de voyage, des pièces mécaniques pour l'armement (fusée d'obus), des télégraphes et développe une voiture électrique, 'l'électricar' qui sera fabriqué et vendu à quelques dizaines d'exemplaires sans grand succès. après la première guerre mondiale, il achète l'usine ' la magicienne ' à saint-ouen pour y produire des pièces pour l'aviation. suite à un deuxième incendie en 1932, armand couaillet, avec quelques employés, remonte un atelier, ' la mécanique horlogère ', à l'emplacement des écuries du château le bréjal, sa propriété. il y fabrique de nouveaux mouvements : un minuteur, un réveil sonnfor, le sonocto ou réveil 24 heures qui sonne à la même heure tous les jours. faute de pouvoir payer les annuités à la propriété industrielle, ces brevets tombent dans le domaine public. ses fils, petits-fils puis arrières petits- fils continue l'entreprise sous le nom de couaillet-maruanne-quesnel à partir de 1955 et en 2011 sous le nom de couaillet usinage dans la ville de rouxmesnil, à proximité de dieppe.;;1903-3-4000-150-1912-1932-24-1955-2011;6816
COURAILLON FREDERIC;?, 1972, ?, ?, nationalité : française;;1972;7572
COURT JEAN;orléans, 1518 vers, strasbourg, 1583;FRANCE;1518-1583;7573
COUTURE THOMAS;;;;7622
COXCIE MICHEL;;;;3059
COYPEL CHARLES ANTOINE;paris (ville), 1694, paris (ville), 1752;ESPAGNE;1694-1752;807
CRANE WALTER;;;;2603
CRESSENT CHARLES;?, 1685, ?, 1768, nationalité : française;;1685-1768;4356
CRISTALLERIE DE BACCARAT;meurthe-et moselle, 1764, nationalité : française;FRANCE;1764;1731
CRISTALLERIE DE CLICHY;1810, 1892  industriel français. principalement connu pour sa fonderie de bronze de reproduction d'art;;1810-1892;7231
CUNEGO LUIGI;?, 1757, ?, 1823#ricciolini : ?, 1654, ?, 1715;ITALIE;1757-1823-1654-1715;5643
CUTLER THOMAS WILLIAM;;;;2719
DALI SALVADOR;;;;5182
DALLEMAGNE CHARLES JOACHIM BENJAMIN;orfèvre 'd'orfèvrerie' etabli 11 rue des orfèvres poinçon insculpé en 1798 . poinçon réinsculpé vers 1805-1810, nationalité : française;FRANCE;11-1798-1805-1810;1553
DALOU AIME JULES;;;;7230
DANCKERTS CORNELIS;?, 1603, amsterdam, 1656, nationalité : hollandaise;;1603-1656;388
DANGAR ANNE;east kempsey, 1885, sablons, 1951, femme;;1885-1951;7578
DANLOUX HENRI PIERRE;paris, 1753, paris, 1809;FRANCE;1753-1809;3670
DARDET FRANÇOIS ALPHONSE;reçu maître orfèvre pour pontoise le 24 mai 1781, 1788. actif à paris en 1811-1814.#falconet : ?, 1741, paris, 1791-06-25;FRANCE;24-1781-1788-1811-1814-1741-1791-06-25;6828
DARJOU ALFRED;;;;6051
DASSORI GIOVANNI BATTISTA;actif au 18e siècle et peut -être au xixe;ITALIE;18;6211
DAULLE JEAN;;;;2627
DAUM;nancy, 1858, sétif, 1943, nationalité : française;FRANCE, LORRAINE;1858-1943;5024
DAUM ANTONIN;;;;7229
DAUM AUGUSTE;;;;7229
DAUMET HONORE;paris, 1826, paris, 1911, nationalité : française#chapu : le mée, 1833, paris, 1891#chaplain : mortagne-au-perche, 1839, paris, 1909, nationalité : française#froment-meurice : paris, 1864, paris, 1948, nationalité : française;FRANCE;1826-1911-1833-1891-1839-1909-1864-1948;7581
DAUPTAIN;auteur de l'édition originale;;;2418
DAVID;;;;8088
DAVID WALKER & CO;- création en 1886 sous le nom de middleton and tonge paper staining co. lieu d'activité : suffield mills, middleton, yorshire (r-u)., 1888 passe sous la direction de david walker., 1899 rachat par the wall paper manufacturere ltd., 1901 disparition après transfert des activités., source : sugden-edmonson, 1925., nationalité : anglaise#greenaway : londres, 1846, ?, 1901, femme, nationalité : anglaise;GRANDE-BRETAGNE;1886-1888-1899-1901-1925-1846-1901;2597
DE DOBBELDE SCHENCKAN;;;;7072
DE GRIEKSCHE A;;;;7089
DE LA TOUR MAURICE QUENTIN;;;;6829
DE LAUNAY NICOLAS;;;;2629
DE METALEN POT;delft, fondée en 1638, dernière mention dans les archives en 1757;PAYS-BAS;1638-1757;657
DE PORCELEYNE BIJL;Fondée en 1657, la fabrique la hache de porcelaine (de porceleyne bijl) fut acquis en 1739 par justus brouwer et son fils hugo. les initiales jb ou hb se trouvent sur les pièces sorties de 1739 à 1785. de 1785 à 1796, sous la direction de jacobus cranendonk, le sigle de la hache est assorti d'un c ou d'un signe angulaire. le dernier propriétaire, floris breda, ajouta à la marque un x. la manufacture ferma en 1799;;1657-1739-1739-1785-1785-1796-1799;7129
DE VERGULDE BLOEMPOT;;;;7065
DE VERGULDE BLOMPOT;;;;7065
DECK THEODORE;Guebwiller, 1823, paris, 1891;FRANCE, PARIS;1823-1891;7582
DEJEAN JOSEPH PHILIPPE ADOLPHE;Dejean est connu avec son associé l'orfèvre martin entre 1837 et 1846, leur poinçon a été insculpé en 1837 et biffé en 1846, dejean est actif avec son poinçon insculpé en 1846 et biffé en 1865;;1837-1846-1837-1846-1846-1865;7585
DELAGRAVE LIBRAIRIE;;;;7502
DELAPORTE NICOLAS;menuisier au 18e siècle;FRANCE;18;6709
DELAUNE ETIENNE;orléans, 1518, strasbourg, 1583, nationalité : française;;1518-1583;457
DELAVIGNE LOUIS;;;;7586
DELEPINE ROMAIN;;;;6796
DELICOURT;paris, 1794, paris, 1880;;1794-1880;7595
DELICOURT CAMPNAS & GARAT;colleville-montgomery (14), 1829, paris, 1913;FRANCE;14-1829-1913;7596
DELICOURT HUGUENIN & CIE;colleville-montgomery (14), 1829, paris, 1913;FRANCE;14-1829-1913;7597
DELLA MONICA PIERO;;ITALIE;;5837
DELORME ADRIEN;:. reçu maître ébéniste en 1748. actif de 1748 à 1783. cité dans les almanachs de l'époque comme l' 'un des plus habiles et des plus renommés pour les ouvrages de marqueterie'.;FRANCE;1748-1748-1783;6643
DELUOL ANDRE;;;;5028
DEMARCHI JEAN PIERRE;;;;5043
DEMAY JEAN BAPTISTE BERNARD;?, 1759, ?, 1848;FRANCE;1759-1848;6664
DENIERE;maison denière fondée par jean-françois deninger dit denière (1775-1866) . importante maison parisienne de bronze et d'orfèvrerie. guillaume denière (1815-1901) succède à son père., nationalité : française;;1775-1866-1815-1901;7598
DEQUEVAUVILLER FRANÇOIS JACQUES;paris, 1783, paris 1848;FRANCE;1783-1848;5853
DEQUEVAUVILLIER FRANÇOIS;paris, 1783, paris, 1848 vers;FRANCE;1783-1848;5765
DEREPAS;?, ?, ?, 1832, monsieur derepas, opticien au n°23 palais royal est notamment cité dans un almanach du commerce de paris pour l'année 1809 (source : internet);;1832-23-1809;291
DESEINE LOUIS PIERRE;paris, 1749, paris, 1821, nationalité : française;FRANCE;1749-1821;3002
DESFOSSE;?, 1815, ?, 1879;;1815-1879;2645
DESFOSSE & KARTH;manufacture résultant de l'association de jules desfossé (qui apporte le fond mader) et hippolyte karth (qui apporte les fonds clerc&margueridon, dufour&leroy). 1864, raison sociale = desfossé et karth 1876, raison sociale = jules desfossé 1889, raison sociale = les héritiers de jules desfossé 1891, raison sociale = desfossé (eugène) et karth (jules) 1899, raison sociale = société anonyme des anciens établissements desfossé et karth. a partir de 1899, fabrication aussi à la machine;FRANCE;1864-1876-1889-1891-1899-1899;7608
